"measurement_id","location_id","pm25","recorded_at","AQI"
"427","2162178","29.97","2024-10-27 04:08:07","90"
"428","1590755","6.32","2024-10-27 04:09:08","35"
"429","8118","200","2024-10-27 04:10:09","275"
"430","225617","21.2","2024-10-27 04:11:10","74"
"431","1214722","18","2024-10-27 04:12:11","68"
"432","9466","4.33","2024-10-27 04:13:12","24"
"433","1324","11.2","2024-10-27 05:06:05","55"
"434","589967","9","2024-10-27 05:07:06","50"
"435","2162178","34.25","2024-10-27 05:08:07","98"
"436","1590755","5.11","2024-10-27 05:09:08","28"
"437","8118","198","2024-10-27 05:10:09","273"
"438","225617","19.9","2024-10-27 05:11:09","71"
"439","1214722","18","2024-10-27 05:12:10","68"
"440","9466","4.33","2024-10-27 05:13:11","24"
"441","1324","11","2024-10-27 06:06:15","55"
"442","589967","9","2024-10-27 06:07:18","50"
"443","2162178","33.91","2024-10-27 06:08:19","97"
"444","1590755","4.51","2024-10-27 06:09:20","25"
"445","8118","203","2024-10-27 06:10:22","278"
"446","225617","19.9","2024-10-27 06:11:23","71"
"447","1214722","18","2024-10-27 06:12:25","68"
"448","9466","4.22","2024-10-27 06:13:26","23"
"449","1324","11.8","2024-10-27 07:06:06","56"
"450","589967","9","2024-10-27 07:07:07","50"
"451","2162178","30.79","2024-10-27 07:08:07","91"
"452","1590755","4.38","2024-10-27 07:09:08","24"
"453","8118","203","2024-10-27 07:10:09","278"
"454","225617","19.8","2024-10-27 07:11:10","71"
"455","1214722","18","2024-10-27 07:12:10","68"
"456","9466","4.18","2024-10-27 07:13:11","23"
"457","1324","11.8","2024-10-27 07:20:12","56"
"458","589967","9","2024-10-27 07:21:12","50"
"459","2162178","30.79","2024-10-27 07:22:12","91"
"460","1590755","4.38","2024-10-27 07:23:12","24"
"461","8118","203","2024-10-27 07:24:12","278"
"462","225617","19.8","2024-10-27 07:25:12","71"
"463","1214722","18","2024-10-27 07:26:12","68"
"464","9466","4.18","2024-10-27 07:27:12","23"
"465","1324","12.2","2024-10-27 08:06:05","57"
"466","589967","9","2024-10-27 08:07:06","50"
"467","2162178","29.71","2024-10-27 08:08:07","89"
"468","1590755","4.97","2024-10-27 08:09:08","28"
"469","8118","207","2024-10-27 08:10:09","282"
"470","225617","20.1","2024-10-27 08:11:10","71"
"471","1214722","18","2024-10-27 08:12:10","68"
"472","9466","4.73","2024-10-27 08:13:11","26"
"473","1324","13.6","2024-10-27 09:06:05","59"
"474","589967","9","2024-10-27 09:07:06","50"
"475","2162178","29.46","2024-10-27 09:08:07","89"
"476","1590755","4.4","2024-10-27 09:09:08","24"
"477","8118","215","2024-10-27 09:10:08","290"
"478","225617","20.2","2024-10-27 09:11:09","72"
"479","1214722","18","2024-10-27 09:12:10","68"
"480","9466","5.16","2024-10-27 09:13:11","29"
"481","1324","15.9","2024-10-27 10:06:05","64"
"482","589967","9","2024-10-27 10:07:06","50"
"483","2162178","29.46","2024-10-27 10:08:07","89"
"484","1590755","5.16","2024-10-27 10:09:08","29"
"485","8118","193","2024-10-27 10:10:08","268"
"486","225617","20.4","2024-10-27 10:11:09","72"
"487","1214722","18","2024-10-27 10:12:10","68"
"488","9466","5.57","2024-10-27 10:13:11","31"
"489","1324","13","2024-10-27 11:06:05","58"
"490","589967","9","2024-10-27 11:07:06","50"
"491","2162178","29.46","2024-10-27 11:08:07","89"
"492","1590755","5.53","2024-10-27 11:09:08","31"
"493","8118","193","2024-10-27 11:10:09","268"
"494","225617","20.4","2024-10-27 11:11:09","72"
"495","1214722","18","2024-10-27 11:12:10","68"
"496","9466","5.73","2024-10-27 11:13:11","32"
"497","1324","13","2024-10-27 11:20:12","58"
"498","589967","9","2024-10-27 11:21:12","50"
"499","2162178","29.46","2024-10-27 11:22:12","89"
"500","1590755","5.53","2024-10-27 11:23:12","31"
"501","8118","193","2024-10-27 11:24:12","268"
"502","225617","20.4","2024-10-27 11:25:12","72"
"503","1214722","18","2024-10-27 11:26:12","68"
"504","9466","5.73","2024-10-27 11:27:12","32"
"505","1324","14.9","2024-10-27 12:06:05","62"
"506","589967","9","2024-10-27 12:07:06","50"
"507","2162178","28.12","2024-10-27 12:08:07","86"
"508","1590755","3.36","2024-10-27 12:09:08","19"
"509","8118","157","2024-10-27 12:10:08","232"
"510","225617","20.3","2024-10-27 12:11:09","72"
"511","1214722","18","2024-10-27 12:12:10","68"
"512","9466","6.02","2024-10-27 12:13:11","33"
"513","1324","14.9","2024-10-27 12:20:11","62"
"514","589967","9","2024-10-27 12:21:11","50"
"515","2162178","28.12","2024-10-27 12:22:12","86"
"516","1590755","3.36","2024-10-27 12:23:12","19"
"517","8118","157","2024-10-27 12:24:12","232"
"518","225617","20.3","2024-10-27 12:25:12","72"
"519","1214722","18","2024-10-27 12:26:12","68"
"520","9466","6.02","2024-10-27 12:27:12","33"
"521","1324","20.6","2024-10-27 13:06:05","72"
"522","589967","9","2024-10-27 13:07:06","50"
"523","2162178","27.21","2024-10-27 13:08:07","85"
"524","1590755","1.3","2024-10-27 13:09:08","7"
"525","8118","157","2024-10-27 13:10:08","232"
"526","225617","20.2","2024-10-27 13:11:09","72"
"527","1214722","18","2024-10-27 13:12:10","68"
"528","9466","6.21","2024-10-27 13:13:11","35"
"529","1324","20.6","2024-10-27 13:20:12","72"
"530","589967","9","2024-10-27 13:21:12","50"
"531","2162178","27.21","2024-10-27 13:22:12","85"
"532","1590755","1.3","2024-10-27 13:23:12","7"
"533","8118","157","2024-10-27 13:24:12","232"
"534","225617","20.2","2024-10-27 13:25:12","72"
"535","1214722","18","2024-10-27 13:26:12","68"
"536","9466","6.21","2024-10-27 13:27:12","35"
"537","1324","18.5","2024-10-27 14:06:05","69"
"538","589967","9","2024-10-27 14:07:06","50"
"539","2162178","27.15","2024-10-27 14:08:07","85"
"540","1590755","1.14","2024-10-27 14:09:08","6"
